model,physics,condition,Perception,Dynamics,Temporal,Causal
SmolVLM,No physics hint,Zero-shot,0.3129,0.2247,0.1687,0.0
SmolVLM,No physics hint,Easy,0.7974,0.5423,0.3641,0.1384
SmolVLM,No physics hint,Easy+Med,0.7108,0.6461,0.6542,0.955
SmolVLM,No physics hint,Hard,0.5941,0.6474,0.3289,0.2193
SmolVLM,No physics hint,Full,0.7813,0.8768,0.772,0.9917
SmolVLM,With physics hint,Zero-shot,0.3124,0.2242,0.1745,0.0
SmolVLM,With physics hint,Easy,0.7723,0.6705,0.3317,0.5972
SmolVLM,With physics hint,Easy+Med,0.8049,0.7445,0.684,0.9516
SmolVLM,With physics hint,Hard,0.5351,0.7011,0.2815,0.2052
SmolVLM,With physics hint,Full,0.8469,0.874,0.879,1.0
Qwen2-VL,No physics hint,Zero-shot,0.1984,0.0714,0.1025,0.0
Qwen2-VL,No physics hint,Easy,0.0996,0.1337,0.0615,0.0
Qwen2-VL,No physics hint,Easy+Med,0.3604,0.4089,0.4954,0.3128
Qwen2-VL,No physics hint,Hard,0.3045,0.2214,0.3474,0.5638
Qwen2-VL,No physics hint,Full,0.34,0.4818,0.6103,0.9083
Qwen2-VL,With physics hint,Zero-shot,0.0965,0.0671,0.0596,0.0
Qwen2-VL,With physics hint,Easy,0.4139,0.2803,0.6539,0.0234
Qwen2-VL,With physics hint,Easy+Med,0.468,0.8014,0.699,0.9766
Qwen2-VL,With physics hint,Hard,0.4164,0.3368,0.7089,0.7256
Qwen2-VL,With physics hint,Full,0.3793,0.801,0.658,0.9842
InternVL3,No physics hint,Zero-shot,0.1684,0.0728,0.0938,0.5638
InternVL3,No physics hint,Easy,0.6728,0.5022,0.9219,0.01
InternVL3,No physics hint,Easy+Med,0.7833,0.8447,0.9763,1.0
InternVL3,No physics hint,Hard,0.7638,0.8244,0.9824,0.9441
InternVL3,No physics hint,Full,0.748,0.8376,0.968,1.0
InternVL3,With physics hint,Zero-shot,0.2063,0.0145,0.131,0.2369
InternVL3,With physics hint,Easy,0.6995,0.5583,0.9174,0.0
InternVL3,With physics hint,Easy+Med,0.8376,0.9662,0.9805,1.0
InternVL3,With physics hint,Hard,0.7849,0.9376,0.9613,0.9441
InternVL3,With physics hint,Full,0.8334,0.9582,0.9436,1.0
