model,physics,condition,answer_accuracy,macro_accuracy,macro_f1,n_questions
SmolVLM,No physics hint,Zero-shot,0.2459,0.213,0.0418,22635
SmolVLM,No physics hint,Easy,0.6143,0.585,0.1081,22635
SmolVLM,No physics hint,Easy+Med,0.6935,0.6774,0.1091,22635
SmolVLM,No physics hint,Hard,0.5561,0.5224,0.0989,22635
SmolVLM,No physics hint,Full,0.8243,0.8354,0.1265,22635
Qwen2-VL,No physics hint,Zero-shot,0.1307,0.1015,0.1332,22635
Qwen2-VL,No physics hint,Easy,0.1009,0.0893,0.1337,22635
Qwen2-VL,No physics hint,Easy+Med,0.3933,0.3343,0.4789,22635
Qwen2-VL,No physics hint,Hard,0.2954,0.247,0.4527,22635
Qwen2-VL,No physics hint,Full,0.4565,0.425,0.5876,22635
InternVL3,No physics hint,Zero-shot,0.146,0.1332,0.1364,22635
InternVL3,No physics hint,Easy,0.613,0.5633,0.6945,22635
InternVL3,No physics hint,Easy+Med,0.8427,0.8812,0.922,22635
InternVL3,No physics hint,Hard,0.8245,0.8166,0.8743,22635
InternVL3,No physics hint,Full,0.8228,0.8735,0.9122,22635
SmolVLM,With physics hint,Zero-shot,0.2463,0.2135,0.0432,22635
SmolVLM,With physics hint,Easy,0.667,0.6046,0.1143,22635
SmolVLM,With physics hint,Easy+Med,0.7751,0.7342,0.1205,22635
SmolVLM,With physics hint,Hard,0.5401,0.5214,0.0996,22635
SmolVLM,With physics hint,Full,0.8688,0.863,0.1328,22635
Qwen2-VL,With physics hint,Zero-shot,0.0761,0.0614,0.0904,22635
Qwen2-VL,With physics hint,Easy,0.38,0.3396,0.501,22635
Qwen2-VL,With physics hint,Easy+Med,0.6423,0.7001,0.7794,22635
Qwen2-VL,With physics hint,Hard,0.4456,0.4865,0.6167,22635
Qwen2-VL,With physics hint,Full,0.5959,0.6718,0.7502,22635
InternVL3,With physics hint,Zero-shot,0.1311,0.1151,0.1276,22635
InternVL3,With physics hint,Easy,0.6436,0.5731,0.709,22635
InternVL3,With physics hint,Easy+Med,0.9104,0.9092,0.945,22635
InternVL3,With physics hint,Hard,0.8706,0.8275,0.8836,22635
InternVL3,With physics hint,Full,0.9006,0.9043,0.9387,22635
