model,model_display,physics,condition,answer_accuracy,answer_accuracy_raw,macro_accuracy,macro_f1,weighted_accuracy,n_questions,n_unanswerable,unanswerable_share
smolvlm,SmolVLM,no_physics,zero_shot,0.24590236359620057,0.3289432300676207,0.21299345239035936,0.04176776906890016,0.24590236359620057,22635,2801,0.11011951564711432
smolvlm,SmolVLM,no_physics,easy,0.614314115308151,0.6567856581223462,0.5850035142915072,0.10813874274907986,0.614314115308151,22635,2801,0.11011951564711432
smolvlm,SmolVLM,no_physics,easy_medium,0.6934835431853325,0.7272369869476333,0.6773762961163602,0.10913615452338352,0.6934835431853325,22635,2801,0.11011951564711432
smolvlm,SmolVLM,no_physics,hard,0.556085707974376,0.6049693348010694,0.5223907577099808,0.0988587122725714,0.556085707974376,22635,2801,0.11011951564711432
smolvlm,SmolVLM,no_physics,full,0.8242544731610338,0.8436074854536877,0.835390368747325,0.12650959494327285,0.8242544731610338,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,no_physics,zero_shot,0.13068257123923127,0.22641138543796194,0.10147163829451485,0.13318826654424412,0.13068257123923127,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,no_physics,easy,0.10086149768058317,0.19987419405566914,0.08927988042727918,0.13368075753210973,0.10086149768058317,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,no_physics,easy_medium,0.3932847360282748,0.4600959270325523,0.33429884700864304,0.47894381635911293,0.3932847360282748,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,no_physics,hard,0.29538325601943893,0.3729753105834251,0.24700290502071431,0.4527366086138836,0.29538325601943893,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,no_physics,full,0.4565054119726088,0.516354772763013,0.42500016713795524,0.5875641016180944,0.4565054119726088,22635,2801,0.11011951564711432
internvl3,InternVL3,no_physics,zero_shot,0.14596863264855311,0.24001415316873723,0.13319880590745778,0.13642967489885333,0.14596863264855311,22635,2801,0.11011951564711432
internvl3,InternVL3,no_physics,easy,0.6129887342611001,0.6556062273942443,0.5632501539801449,0.694512170636126,0.6129887342611001,22635,2801,0.11011951564711432
internvl3,InternVL3,no_physics,easy_medium,0.8426772697150431,0.8600015725743041,0.8812059643320069,0.9219676406473494,0.8426772697150431,22635,2801,0.11011951564711432
internvl3,InternVL3,no_physics,hard,0.824519549370444,0.8438433715993081,0.8165714587278207,0.874337056151798,0.824519549370444,22635,2801,0.11011951564711432
internvl3,InternVL3,no_physics,full,0.8227523746410427,0.8422707972951722,0.8735365001127496,0.9122402755069516,0.8227523746410427,22635,2801,0.11011951564711432
smolvlm,SmolVLM,with_physics,zero_shot,0.24625579854208085,0.3292577449284479,0.21351528289718677,0.043227595053550436,0.24625579854208085,22635,2801,0.11011951564711432
smolvlm,SmolVLM,with_physics,easy,0.6669759222443119,0.7036483723855952,0.6046429483812387,0.11431341779390375,0.6669759222443119,22635,2801,0.11011951564711432
smolvlm,SmolVLM,with_physics,easy_medium,0.7750828363154407,0.7998506054411071,0.734237479044933,0.1205393582387941,0.7750828363154407,22635,2801,0.11011951564711432
smolvlm,SmolVLM,with_physics,hard,0.5401369560415286,0.5907768517062432,0.5214166178531898,0.09955725044412404,0.5401369560415286,22635,2801,0.11011951564711432
smolvlm,SmolVLM,with_physics,full,0.8688314557101834,0.8832756722755151,0.8630306665193214,0.1327620090736345,0.8688314557101834,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,with_physics,zero_shot,0.07612105146896399,0.17785815379776695,0.061421394547160266,0.09040477271116837,0.07612105146896399,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,with_physics,easy,0.3800309255577645,0.44830161975153326,0.3396014852731071,0.5009739825474526,0.3800309255577645,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,with_physics,easy_medium,0.6423238347691628,0.6817109608428998,0.700089128055915,0.7793765030602517,0.6423238347691628,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,with_physics,hard,0.44559310801855534,0.506644126434974,0.4864513252244549,0.616719535131357,0.44559310801855534,22635,2801,0.11011951564711432
qwen2vl,Qwen2-VL,with_physics,full,0.5958913187541418,0.6403915710017298,0.6718487319359083,0.7501523173822829,0.5958913187541418,22635,2801,0.11011951564711432
internvl3,InternVL3,with_physics,zero_shot,0.13108018555334658,0.22676521465639252,0.11513786962635868,0.1276104080641972,0.13108018555334658,22635,2801,0.11011951564711432
internvl3,InternVL3,with_physics,easy,0.6436050364479788,0.6828510772133983,0.5731412347992426,0.7090325480511374,0.6436050364479788,22635,2801,0.11011951564711432
internvl3,InternVL3,with_physics,easy_medium,0.9104484205875856,0.9203097971379147,0.9091811785582476,0.9450167399265967,0.9104484205875856,22635,2801,0.11011951564711432
internvl3,InternVL3,with_physics,hard,0.8705544510713497,0.8848089322220475,0.8275166964549703,0.8835790244468086,0.8705544510713497,22635,2801,0.11011951564711432
internvl3,InternVL3,with_physics,full,0.900640600839408,0.9115820097499607,0.9043214435015438,0.9386609825864098,0.900640600839408,22635,2801,0.11011951564711432
