model,model_display,physics,condition,question_type,category,accuracy,f1,count
smolvlm,SmolVLM,no_physics,zero_shot,stationary_duration,Temporal,0.004548900682335102,0.00019565164225097213,1319
smolvlm,SmolVLM,no_physics,zero_shot,stopped_objects_count,Perception,0.14487632508833923,0.0,1981
smolvlm,SmolVLM,no_physics,zero_shot,stationary_start_time,Temporal,0.21342383107088989,0.012747530774096238,1326
smolvlm,SmolVLM,no_physics,zero_shot,collision_presence,Perception,1.0,0.017219320961458926,1978
smolvlm,SmolVLM,no_physics,zero_shot,object_count,Perception,0.17851739788199697,0.0002689527651706169,1983
smolvlm,SmolVLM,no_physics,zero_shot,friction_comparison,Dynamics,0.05495634309193631,0.008100176564480623,1947
smolvlm,SmolVLM,no_physics,zero_shot,rolling_detection,Perception,0.325922182920667,0.0,1979
smolvlm,SmolVLM,no_physics,zero_shot,shape_distribution,Perception,0.0007380073800738007,0.0001595691632592002,1355
smolvlm,SmolVLM,no_physics,zero_shot,newtons_second_law,Dynamics,1.0,0.12087712173259663,1367
smolvlm,SmolVLM,no_physics,zero_shot,velocity_scaling,Dynamics,0.0,0.012966361689304455,1102
smolvlm,SmolVLM,no_physics,zero_shot,friction_scaling,Dynamics,0.0,0.0,1114
smolvlm,SmolVLM,no_physics,zero_shot,fastest_object,Perception,0.010033444816053512,0.004559725228470351,1196
smolvlm,SmolVLM,no_physics,zero_shot,apparent_contradiction,Causal,0.0,0.034821535510690144,1076
smolvlm,SmolVLM,no_physics,zero_shot,friction_coefficient_comparison,Dynamics,0.016129032258064516,0.007215723344755603,682
smolvlm,SmolVLM,no_physics,zero_shot,momentum_conservation,Dynamics,0.23687423687423687,0.09372009372009373,819
smolvlm,SmolVLM,no_physics,zero_shot,energy_analysis_taxonomy,Dynamics,0.12316715542521994,0.032970425160577965,341
smolvlm,SmolVLM,no_physics,zero_shot,indirect_causation,Causal,0.0,0.0,67
smolvlm,SmolVLM,no_physics,zero_shot,four_hop_causation,Causal,0.0,0.0399444217699522,56
smolvlm,SmolVLM,no_physics,zero_shot,relative_velocity_magnitude,Dynamics,0.0,0.0,150
smolvlm,SmolVLM,no_physics,zero_shot,event_sequence,Temporal,0.0,0.038784608344512916,52
smolvlm,SmolVLM,no_physics,zero_shot,temporal_consistency,Temporal,0.0,0.0530924809659422,188
smolvlm,SmolVLM,no_physics,zero_shot,direction_reversal,Temporal,1.0,0.0,238
smolvlm,SmolVLM,no_physics,zero_shot,property_competition,Dynamics,0.8888888888888888,0.43102527071804275,36
smolvlm,SmolVLM,no_physics,zero_shot,mass_ratio,Dynamics,0.0,0.0,212
smolvlm,SmolVLM,no_physics,zero_shot,relative_velocity_decision,Dynamics,0.1267605633802817,0.13552525666684856,71
smolvlm,SmolVLM,no_physics,easy,stationary_duration,Temporal,0.2494313874147081,0.004479189118041239,1319
smolvlm,SmolVLM,no_physics,easy,stopped_objects_count,Perception,0.6809692074709742,0.01763328233422315,1981
smolvlm,SmolVLM,no_physics,easy,stationary_start_time,Temporal,0.3393665158371041,0.011614026135858282,1326
smolvlm,SmolVLM,no_physics,easy,collision_presence,Perception,1.0,0.02548220870854036,1978
smolvlm,SmolVLM,no_physics,easy,object_count,Perception,0.7614725163893091,0.02105388878347195,1983
smolvlm,SmolVLM,no_physics,easy,friction_comparison,Dynamics,0.39599383667180277,0.03696167554635204,1947
smolvlm,SmolVLM,no_physics,easy,rolling_detection,Perception,0.7609903991915109,0.019593562804006585,1979
smolvlm,SmolVLM,no_physics,easy,shape_distribution,Perception,0.9992619926199262,0.13494846927646484,1355
smolvlm,SmolVLM,no_physics,easy,newtons_second_law,Dynamics,1.0,0.06007051013613136,1367
smolvlm,SmolVLM,no_physics,easy,velocity_scaling,Dynamics,0.10344827586206896,0.0938480753109537,1102
smolvlm,SmolVLM,no_physics,easy,friction_scaling,Dynamics,0.7055655296229802,0.11049952547069104,1114
smolvlm,SmolVLM,no_physics,easy,fastest_object,Perception,0.5459866220735786,0.1342075822099055,1196
smolvlm,SmolVLM,no_physics,easy,apparent_contradiction,Causal,0.0845724907063197,0.11739815720751191,1076
smolvlm,SmolVLM,no_physics,easy,friction_coefficient_comparison,Dynamics,0.5439882697947214,0.14771918440443282,682
smolvlm,SmolVLM,no_physics,easy,momentum_conservation,Dynamics,0.4249084249084249,0.07164547227649333,819
smolvlm,SmolVLM,no_physics,easy,energy_analysis_taxonomy,Dynamics,0.9941348973607038,0.15513681972441068,341
smolvlm,SmolVLM,no_physics,easy,indirect_causation,Causal,0.8955223880597015,0.1196607844437895,67
smolvlm,SmolVLM,no_physics,easy,four_hop_causation,Causal,0.26785714285714285,0.09572290332257193,56
smolvlm,SmolVLM,no_physics,easy,relative_velocity_magnitude,Dynamics,0.22666666666666666,0.03981036315021808,150
smolvlm,SmolVLM,no_physics,easy,event_sequence,Temporal,0.4423076923076923,0.43154628298387193,52
smolvlm,SmolVLM,no_physics,easy,temporal_consistency,Temporal,0.5159574468085106,0.2281122286790463,188
smolvlm,SmolVLM,no_physics,easy,direction_reversal,Temporal,1.0,0.021392859322494958,238
smolvlm,SmolVLM,no_physics,easy,property_competition,Dynamics,1.0,0.3584895335029668,36
smolvlm,SmolVLM,no_physics,easy,mass_ratio,Dynamics,0.2641509433962264,0.002614553315285272,212
smolvlm,SmolVLM,no_physics,easy,relative_velocity_decision,Dynamics,0.4225352112676056,0.24382743055926281,71
smolvlm,SmolVLM,no_physics,easy_medium,stationary_duration,Temporal,0.88855193328279,0.02653997483735176,1319
smolvlm,SmolVLM,no_physics,easy_medium,stopped_objects_count,Perception,0.5714285714285714,0.00958342331999753,1981
smolvlm,SmolVLM,no_physics,easy_medium,stationary_start_time,Temporal,0.33861236802413275,0.01102941960154115,1326
smolvlm,SmolVLM,no_physics,easy_medium,collision_presence,Perception,1.0,0.02262048366327138,1978
smolvlm,SmolVLM,no_physics,easy_medium,object_count,Perception,0.6338880484114977,0.014942420325906914,1983
smolvlm,SmolVLM,no_physics,easy_medium,friction_comparison,Dynamics,0.7087827426810478,0.045871103309717595,1947
smolvlm,SmolVLM,no_physics,easy_medium,rolling_detection,Perception,0.538655886811521,0.00960791675824411,1979
smolvlm,SmolVLM,no_physics,easy_medium,shape_distribution,Perception,0.9874538745387453,0.11503356782478576,1355
smolvlm,SmolVLM,no_physics,easy_medium,newtons_second_law,Dynamics,1.0,0.06326158685068185,1367
smolvlm,SmolVLM,no_physics,easy_medium,velocity_scaling,Dynamics,0.3666061705989111,0.10750154348095038,1102
smolvlm,SmolVLM,no_physics,easy_medium,friction_scaling,Dynamics,0.466786355475763,0.08446877704728074,1114
