model,physics,condition,n_questions,n_unanswerable,unanswerable_share,answer_accuracy,answer_accuracy_raw,inflation_pp
SmolVLM,No physics hint,Zero-shot,22635,2801,0.1101,0.2459,0.3289,8.3
SmolVLM,No physics hint,Easy,22635,2801,0.1101,0.6143,0.6568,4.25
SmolVLM,No physics hint,Easy+Med,22635,2801,0.1101,0.6935,0.7272,3.38
SmolVLM,No physics hint,Hard,22635,2801,0.1101,0.5561,0.605,4.89
SmolVLM,No physics hint,Full,22635,2801,0.1101,0.8243,0.8436,1.94
Qwen2-VL,No physics hint,Zero-shot,22635,2801,0.1101,0.1307,0.2264,9.57
Qwen2-VL,No physics hint,Easy,22635,2801,0.1101,0.1009,0.1999,9.9
Qwen2-VL,No physics hint,Easy+Med,22635,2801,0.1101,0.3933,0.4601,6.68
Qwen2-VL,No physics hint,Hard,22635,2801,0.1101,0.2954,0.373,7.76
Qwen2-VL,No physics hint,Full,22635,2801,0.1101,0.4565,0.5164,5.98
InternVL3,No physics hint,Zero-shot,22635,2801,0.1101,0.146,0.24,9.4
InternVL3,No physics hint,Easy,22635,2801,0.1101,0.613,0.6556,4.26
InternVL3,No physics hint,Easy+Med,22635,2801,0.1101,0.8427,0.86,1.73
InternVL3,No physics hint,Hard,22635,2801,0.1101,0.8245,0.8438,1.93
InternVL3,No physics hint,Full,22635,2801,0.1101,0.8228,0.8423,1.95
SmolVLM,With physics hint,Zero-shot,22635,2801,0.1101,0.2463,0.3293,8.3
SmolVLM,With physics hint,Easy,22635,2801,0.1101,0.667,0.7036,3.67
SmolVLM,With physics hint,Easy+Med,22635,2801,0.1101,0.7751,0.7999,2.48
SmolVLM,With physics hint,Hard,22635,2801,0.1101,0.5401,0.5908,5.06
SmolVLM,With physics hint,Full,22635,2801,0.1101,0.8688,0.8833,1.44
Qwen2-VL,With physics hint,Zero-shot,22635,2801,0.1101,0.0761,0.1779,10.17
Qwen2-VL,With physics hint,Easy,22635,2801,0.1101,0.38,0.4483,6.83
Qwen2-VL,With physics hint,Easy+Med,22635,2801,0.1101,0.6423,0.6817,3.94
Qwen2-VL,With physics hint,Hard,22635,2801,0.1101,0.4456,0.5066,6.11
Qwen2-VL,With physics hint,Full,22635,2801,0.1101,0.5959,0.6404,4.45
InternVL3,With physics hint,Zero-shot,22635,2801,0.1101,0.1311,0.2268,9.57
InternVL3,With physics hint,Easy,22635,2801,0.1101,0.6436,0.6829,3.92
InternVL3,With physics hint,Easy+Med,22635,2801,0.1101,0.9104,0.9203,0.99
InternVL3,With physics hint,Hard,22635,2801,0.1101,0.8706,0.8848,1.43
InternVL3,With physics hint,Full,22635,2801,0.1101,0.9006,0.9116,1.09
